state,city,lat,lng,price_per_gallon
Texas,Dallas,32.7767,-96.7970,3.25
Texas,Houston,29.7604,-95.3698,3.20
Texas,San Antonio,29.4241,-98.4936,3.18
Oklahoma,Oklahoma City,35.4676,-97.5164,3.30
Kansas,Wichita,37.6872,-97.3301,3.35
Missouri,Kansas City,39.0997,-94.5786,3.40
Illinois,Chicago,41.8781,-87.6298,3.75
Tennessee,Nashville,36.1627,-86.7816,3.28
Georgia,Atlanta,33.7490,-84.3880,3.22
Florida,Miami,25.7617,-80.1918,3.45
Florida,Orlando,28.5383,-81.3792,3.38
Florida,Tampa,27.9506,-82.4572,3.36
North Carolina,Charlotte,35.2271,-80.8431,3.30
Virginia,Richmond,37.5407,-77.4360,3.42
Pennsylvania,Philadelphia,39.9526,-75.1652,3.65
New York,New York City,40.7128,-74.0060,3.90
Ohio,Columbus,39.9612,-82.9988,3.38
Michigan,Detroit,42.3314,-83.0458,3.50
Indiana,Indianapolis,39.7684,-86.1581,3.35
Wisconsin,Milwaukee,43.0389,-87.9065,3.48
Minnesota,Minneapolis,44.9778,-93.2650,3.52
Iowa,Des Moines,41.5868,-93.6250,3.36
Nebraska,Omaha,41.2565,-95.9345,3.30
Colorado,Denver,39.7392,-104.9903,3.55
Arizona,Phoenix,33.4484,-112.0740,3.28
Nevada,Las Vegas,36.1699,-115.1398,3.60
California,Los Angeles,34.0522,-118.2437,4.50
California,San Francisco,37.7749,-122.4194,4.65
California,San Diego,32.7157,-117.1611,4.40
Oregon,Portland,45.5051,-122.6750,4.10
Washington,Seattle,47.6062,-122.3321,4.20
Utah,Salt Lake City,40.7608,-111.8910,3.45
New Mexico,Albuquerque,35.0844,-106.6504,3.32
Louisiana,New Orleans,29.9511,-90.0715,3.20
Mississippi,Jackson,32.2988,-90.1848,3.15
Alabama,Birmingham,33.5186,-86.8104,3.18
Arkansas,Little Rock,34.7465,-92.2896,3.22
Kentucky,Louisville,38.2527,-85.7585,3.35
West Virginia,Charleston,38.3498,-81.6326,3.48
Maryland,Baltimore,39.2904,-76.6122,3.60
New Jersey,Newark,40.7357,-74.1724,3.72
Massachusetts,Boston,42.3601,-71.0589,3.80
